Search Appearance,Clicks,Impressions,CTR,Position
Product snippets,197262,18514048,1.07%,10.89
Merchant listings,3343,67424,4.96%,2.43
Review snippet,4,823,0.49%,29.63
Videos,0,110,0%,9.35
Discussion forums,0,151,0%,6.81
